1	766	933	330
2	433	516	85
3	760	967	835
4	992	334	775
5	920	715	195
6	594	710	195
7	415	667	533
8	439	755	27
9	814	694	579
10	697	481	113
11	945	716	995
12	862	137	318
13	913	823	427
14	800	897	279
15	827	962	567
16	345	1	830
17	676	865	707
18	205	17	949
19	662	738	472
20	96	525	782
21	665	859	680
22	112	617	122
23	274	189	487
24	164	119	526
25	358	95	882
26	602	395	196
27	108	622	466
28	157	231	149
29	176	604	9
30	965	926	348
31	692	403	127
32	645	284	802
33	511	932	59
34	424	414	405
35	359	304	455
36	654	924	851
37	856	223	205
38	387	725	593
39	516	805	745
40	2	889	472
41	146	453	170
42	531	614	828
43	100	993	321
44	612	912	472
45	204	860	978
46	881	918	545
47	917	962	72
48	835	417	701
49	130	540	212
50	48	815	491
51	549	337	55
52	674	666	871
53	57	97	404
54	557	65	564
55	293	553	823
56	730	149	595
57	349	658	744
58	599	283	742
59	710	767	655
60	980	754	764
61	116	564	651
62	931	774	556
63	783	799	996
64	97	120	563
65	439	282	102
66	959	903	656
67	78	501	424
68	137	437	202
69	101	899	607
70	272	469	5
71	582	218	701
72	525	879	47
73	427	607	69
74	34	796	624
75	543	581	55
76	839	770	688
77	903	820	230
78	496	541	624
79	975	68	288
80	176	431	154
81	811	344	280
82	246	656	547
83	657	789	436
84	139	872	795
85	755	716	689
