1	90	710	590
2	658	295	98
3	312	787	312
4	267	370	9
5	517	369	45
6	412	927	913
7	361	448	733
8	816	93	243
9	732	887	191
10	65	90	19
11	687	421	81
12	603	862	716
13	374	630	78
14	329	617	282
15	940	493	378
16	492	590	533
17	50	16	163
18	654	322	793
19	750	787	940
20	441	338	513
21	422	539	247
22	899	584	652
23	353	773	633
24	307	21	410
25	410	537	641
26	971	873	877
27	47	507	49
28	799	69	83
29	481	106	295
30	569	249	135
31	377	415	120
32	525	107	828
33	765	106	832
34	841	865	2
35	829	770	825
36	879	162	131
37	640	565	558
38	467	770	8
39	554	178	8
40	449	247	528
41	570	699	670
42	54	270	656
43	980	63	682
44	725	856	268
45	802	308	827
46	870	898	993
47	736	611	302
48	458	864	7
49	211	861	442
50	63	406	833
51	609	888	400
52	234	488	856
53	523	98	757
54	252	136	846
55	39	836	865
56	338	52	917
57	930	3	619
58	302	675	618
59	39	71	376
60	564	328	936
61	178	844	7
62	482	862	610
63	725	541	81
64	92	813	585
65	156	803	152
66	312	608	973
67	950	110	195
68	528	95	170
69	730	441	97
70	727	255	260
71	197	614	451
72	675	850	124
73	389	536	565
74	610	574	495
75	943	421	389
76	31	421	863
77	288	104	789
78	420	835	9
79	138	206	766
80	258	28	625
81	247	287	852
82	752	357	463
83	552	90	442
84	150	400	264
85	373	490	773
