1	946	975	184
2	365	324	113
3	50	358	329
4	2	374	128
5	844	8	472
6	940	492	248
7	381	25	748
8	12	135	672
9	180	241	794
10	798	134	508
11	92	141	226
12	294	230	749
13	968	675	645
14	412	581	233
15	281	177	407
16	744	346	830
17	574	973	551
18	151	459	773
19	407	900	632
20	361	132	799
21	402	181	878
22	81	358	611
23	21	679	946
24	708	848	73
25	777	186	107
26	565	806	594
27	169	108	593
28	482	796	5
29	487	886	261
30	501	80	832
31	610	330	197
32	614	719	653
33	976	514	591
34	379	686	659
35	101	333	155
36	390	136	5
37	925	888	853
38	688	857	987
39	494	249	734
40	454	592	509
41	464	978	461
42	386	145	475
43	339	189	706
44	61	635	198
45	230	655	72
46	581	208	791
47	616	776	703
48	907	579	985
49	732	505	557
50	96	572	584
51	861	991	515
52	605	561	219
53	374	420	368
54	792	417	375
55	795	604	907
56	498	10	253
57	445	555	556
58	309	466	467
59	136	387	477
60	183	985	426
61	643	393	595
62	668	106	591
63	147	613	714
64	486	491	143
65	951	892	16
66	320	876	16
67	474	226	784
68	325	911	725
69	567	843	157
70	674	240	730
71	641	923	895
72	747	251	98
73	662	528	389
74	661	63	326
75	445	95	111
76	800	125	169
77	412	57	250
78	657	633	806
79	165	707	101
80	50	739	364
81	504	337	775
82	150	129	225
83	927	232	624
84	365	228	440
85	295	585	344
