1	671	101	121
2	190	932	779
3	749	771	675
4	36	324	255
5	816	260	451
6	167	213	273
7	165	634	333
8	873	137	356
9	398	743	590
10	278	271	224
11	309	979	949
12	343	768	358
13	636	618	101
14	572	674	175
15	157	899	739
16	22	675	861
17	186	939	494
18	746	675	160
19	423	135	65
20	751	941	317
21	109	329	437
22	839	949	459
23	907	505	854
24	924	423	534
25	839	352	720
26	985	604	152
27	20	556	636
28	139	125	344
29	611	97	825
30	720	944	486
31	759	281	198
32	509	213	744
33	453	253	829
34	182	861	606
35	924	897	2
36	408	922	845
37	622	825	68
38	493	236	756
39	202	450	407
40	564	792	961
41	358	740	67
42	213	283	226
43	305	408	335
44	559	309	921
45	416	248	702
46	597	286	418
47	267	964	935
48	779	270	631
49	24	773	447
50	352	836	808
51	39	102	42
52	598	683	162
53	366	934	334
54	287	832	436
55	514	427	16
56	644	653	793
57	746	245	165
58	464	43	169
59	619	979	948
60	184	585	134
61	330	791	840
62	120	361	283
63	805	623	701
64	510	937	549
65	423	670	273
66	752	830	116
67	930	690	247
68	320	120	261
69	322	443	180
70	820	937	695
71	417	927	413
72	295	967	347
73	485	328	256
74	878	795	799
75	73	485	561
76	532	835	753
77	263	805	517
78	765	376	511
79	307	181	946
80	8	256	738
81	179	956	782
82	526	648	28
83	690	553	715
84	803	378	555
85	188	394	207
