1	121	784	894
2	377	874	432
3	12	155	392
4	998	871	830
5	596	445	957
6	545	287	239
7	965	270	269
8	653	145	507
9	485	404	675
10	700	705	305
11	194	145	152
12	401	176	679
13	497	273	774
14	450	149	735
15	929	886	172
16	487	774	86
17	371	499	762
18	85	424	136
19	826	463	912
20	499	526	757
21	845	891	639
22	667	272	412
23	354	812	508
24	340	178	52
25	628	233	198
26	421	879	602
27	739	388	593
28	90	184	62
29	821	688	749
30	800	172	133
31	703	804	471
32	686	791	712
33	202	302	724
34	409	353	536
35	414	456	751
36	460	523	993
37	806	469	815
38	498	763	645
39	764	469	693
40	587	213	486
41	53	505	209
42	445	63	4
43	290	635	220
44	194	626	381
45	100	228	285
46	27	378	862
47	387	922	331
48	616	629	380
49	744	326	66
50	441	584	697
51	666	521	920
52	587	970	529
53	507	641	701
54	116	380	114
55	743	24	758
56	331	985	705
57	14	609	346
58	689	576	786
59	618	301	126
60	149	580	541
61	584	466	211
62	592	120	258
63	211	332	878
64	168	169	256
65	16	287	658
66	725	658	233
67	366	795	272
68	160	163	214
69	465	662	688
70	407	581	244
71	803	491	661
72	948	723	219
73	238	982	773
74	325	411	842
75	913	969	903
76	1	8	347
77	63	122	174
78	652	183	555
79	569	558	432
80	980	108	497
81	483	741	234
82	933	140	605
83	3	291	272
84	329	282	846
85	857	76	226
